time,x,y,z
8.940109,7.2859545,3.108255,11.709494
8.9501095,6.903495,3.078835,10.797476
8.96011,6.560262,2.9709618,9.787391
8.97011,6.4523892,2.8728955,8.865565
8.98011,6.4229693,2.774829,8.09084
8.99011,6.481809,2.686569,7.6495404
9.000111,6.7563953,2.5983093,7.5907006
9.010111,6.8348484,2.5296626,7.5907006
9.020111,6.923108,2.4512093,7.610314
9.030111,6.942722,2.4217894,7.6691537
9.040112,6.942722,2.4021761,7.6691537
9.050112,6.8642683,2.3433363,7.6691537
9.060112,6.560262,2.2746897,7.6789603
9.070112,6.4425826,2.176623,7.94374
9.080112,6.060123,1.9314568,8.23794
9.090113,5.95225,1.9118435,8.336006
9.100113,5.618824,1.843197,8.571366
9.110113,5.530564,1.8235837,8.551753
9.120113,5.246171,1.8235837,8.218327
9.130114,5.1481047,1.9118435,7.94374
9.140114,4.8440986,2.1472032,7.492634
9.150114,4.549899,2.1472032,6.9728813
9.160114,4.2066665,2.1472032,6.4335155
9.1701145,3.8144002,2.06875,5.89415
9.180115,3.5790405,2.03933,5.3842044
9.190115,3.3240678,1.9608768,4.9232917
9.200115,3.2161946,1.8726169,4.5604453
9.210115,3.1083214,1.7745504,4.325086
9.220116,3.0887082,1.7451304,4.305473
9.230116,3.0887082,1.7451304,4.236826
9.240116,3.1671612,1.7451304,4.177986
9.250116,3.4123275,1.8235837,4.177986
9.260117,3.5005875,2.0785568,4.1975994
9.270117,3.6084607,2.3237228,4.540832
9.280117,3.84382,2.608116,4.9036784
9.290117,3.8634336,2.9513485,5.3645906
9.3001175,3.93208,3.304388,5.727437
9.310118,3.9516933,3.6083941,6.01183
9.320118,4.0301466,3.8829803,6.090283
9.330118,4.3439593,3.9516268,6.1883492
9.340118,4.6185455,4.03008,6.5511956
9.350119,4.961778,4.08892,6.8944283
9.360119,5.2069445,4.08892,7.2180476
9.370119,5.275591,3.9908535,7.6691537
9.380119,5.530564,3.7064607,8.345813
9.39012,5.80515,3.637814,9.198992
